Title,Release_Date,Expired_Date,Activity_Code,Organization,Parent_Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
Notice of Special Interest (NOSI) for Administrative Supplements: Harmonization and Joint Analysis of Human Brain Single-Cell Datasets,1/30/2023,,Admin Supp,NINDS,NIH,"NCCIH, NEI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCR, NIEHS, NIMH, OBSSR",NOT-NS-23-042,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-23-042.html
Innovations for Healthy Living - Improving Minority Health and Eliminating Health Disparities (R43/R44 - Clinical Trial Optional),1/30/2023,9/6/2023,R43/R44,NIMHD,NIH,"NCATS, NHLBI, NIA, NIAAA, NIBIB, NIDCR, NIDDK, NINDS",RFA-MD-23-003,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MD-23-003.html
Technologies for Improving Minority Health and Eliminating Health Disparities (R41/R42- Clinical Trial Optional),1/30/2023,9/6/2023,R41/R42,NIMHD,NIH,"NCATS, NIDCR, NINDS",RFA-MD-23-002,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MD-23-002.html
Addressing the Impact of Structural Racism and Discrimination on Minority Health and Health Disparities (R01 - Clinical Trial Optional),1/30/2023,1/7/2026,R01,NIMHD,NIH,"NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIGMS, NIMH, NINR, OBSSR, ODP, PN, ORWH, SGMRO, NCCIH, NEI, NHGRI, NIA, NIBIB, NICHD",PAR-23-112,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-112.html
Ruth L. Kirschstein National Research Service Award (NRSA) Institutional Research Training Grant (Parent T32),1/26/2023,5/7/2026,T32,OD,NIH,"NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDDK, NIEHS, NIGMS, NIMH, NINR, ODSS, ORIP",PA-23-048,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-23-048.html
AHRQ Small Research Projects to Advance the Science of Primary Care (R03),1/26/2023,3/19/2027,R03,AHRQ,AHRQ,None,PA-23-115,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-23-115.html
Development and Maintenance of Human and Animal Food Rapid Response Teams (U2F) Clinical Trials Not Allowed,1/26/2023,4/14/2023,U2F,FDA,FDA,None,RFA-FD-23-019,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-23-019.html
"Notice of Special Interest (NOSI): Pharmacogenomic Approaches to Enhancing HIV and Substance Use Disorder (SUD) Treatment Strategies, A jump into Precision Medicine.",1/26/2023,,"R01,R03",NIDA,NIH,None,NOT-DA-24-001,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-24-001.html
Flexible Funding Model-Infrastructure Development and Maintenance for State Manufactured Food Regulatory Programs (U2F) Clinical Trials Not Allowed,1/24/2023,4/14/2023,U2F,FDA,FDA,None,RFA-FD-23-027,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-23-027.html
Notice of Special Interest (NOSI): Administrative Supplements for NCI Global Oncology Mentored Research,1/23/2023,,Admin Supp,NCI,NIH,None,NOT-CA-23-038,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-23-038.html
Notice of Special Interest (NOSI): Administrative Supplement for NIDCD National Human Ear Resource Network Coordination Center,1/23/2023,,"Admin Supp,U24",NIDCD,NIH,None,NOT-DC-23-002,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DC-23-002.html
Time-Sensitive Research Opportunities in Environmental Health Sciences (R21 Clinical Trial Not Allowed),1/20/2023,12/1/2025,R21,NIEHS,NIH,None,RFA-ES-23-004,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-ES-23-004.html
Notice of Special Interest (NOSI): Computational and Statistical Methods to Enhance Discovery from Health Data,1/19/2023,,R01,NLM,NIH,None,NOT-LM-23-001,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-LM-23-001.html
"Notice of Special Interest (NOSI): Research on the Etiology, Early Detection, Screening and Prevention of Early-Onset Colorectal Cancer",1/19/2023,,"K01,R01,K22,K08,R21,U34,K99/R00,P01,R34",NCI,NIH,None,NOT-CA-23-018,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-23-018.html
Notice of Special Interest (NOSI): Understanding Sudden Death in the Young Through Research,1/19/2023,,R01,NHLBI,NIH,NINDS,NOT-HL-22-040,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-22-040.html
Notice of Special Interest (NOSI): Priority Research Opportunities in Crisis Response Services,1/18/2023,,"R21,R01,R34",NIMH,NIH,"NIDA, ORWH",NOT-MH-23-140,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-23-140.html
Ruth L. Kirschstein National Research Service Award (NRSA) Short-Term Institutional Research Training Grant (Parent T35),1/18/2023,5/7/2026,T35,OD,NIH,"NCCIH, NEI, NHLBI, NIA, NIAAA, NIAID, NIBIB, NIDCD, NIDDK, NIEHS, ORIP",PA-23-080,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-23-080.html
Pediatric Device Consortia Grants Program (P50) Clinical Trials Optional,1/18/2023,3/29/2023,P50,FDA,FDA,None,RFA-FD-23-024,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-23-024.html
Notice of Special Interest (NOSI): Technology Development for Cancer Control and Population Science Research,1/18/2023,,"U01,R21,R61,R33,U24",NCI,NIH,None,NOT-CA-23-037,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-23-037.html
Notice of Special Interest (NOSI): Career Development Opportunities for Research Within the Mission of the Division of Cancer Prevention at the National Cancer Institute,1/18/2023,,"K22,K08,K99/R00,K01",NCI,NIH,None,NOT-CA-23-035,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-23-035.html
Innovative Pilot Mental Health Services Research Not Involving Clinical Trials (R34 Clinical Trial Not Allowed),1/13/2023,5/7/2025,R34,NIMH,NIH,None,PAR-23-105,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-105.html
"Pilot Studies to Test the Initiation of a Mental Health Family Navigator Model to Promote Early Access, Engagement and Coordination of Needed Mental Health Services for Children and Adolescents (R34 Clinical Trial Required)",1/13/2023,9/7/2024,R34,NIMH,NIH,None,PAR-23-104,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-23-104.html
Implementing and Sustaining Evidence-Based Mental Health Practices in Low-Resource Settings to Achieve Equity in Outcomes (R34 Clinical Trial Required ),1/13/2023,9/7/2024,R34,NIMH,NIH,None,PAR-23-103,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-23-103.html
Mood and Psychosis Symptoms during the Menopause Transition (R21 Clinical Trial Optional),1/13/2023,1/7/2025,R21,NIMH,NIH,None,PAR-23-102,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-102.html
Utilizing Invasive Recording and Stimulating Opportunities in Humans to Advance Neural Circuitry Understanding of Mental Health Disorders (R21 Clinical Trial Optional),1/13/2023,9/7/2024,R21,NIMH,NIH,None,PAR-23-101,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-101.html
Novel Assays to Address Translational Gaps in Treatment Development (UG3/UH3 Clinical Trial Optional),1/13/2023,6/20/2025,UG3/UH3,NIMH,NIH,None,PAR-23-087,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-087.html
In-Depth Phenotyping and Research Using IMPC-Generated Knockout Mouse Strains Exhibiting Embryonic or Perinatal Lethality or Subviability (R01 Clinical Trial Not Allowed) ,1/12/2023,1/7/2026,R01,NICHD,NIH,"NIDCR, ORWH",PAR-23-074,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-074.html
Investigator Initiated Extended Clinical Trial (R01 Clinical Trial Required),1/12/2023,1/13/2026,R01,NIAID,NIH,NIA,PAR-23-084,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-23-084.html
NIDA Research Center of Excellence Grant Program (P50 Clinical Trial Optional),1/12/2023,11/18/2025,P50,NIDA,NIH,None,PAR-23-076,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-076.html
Alzheimer's Disease Research Centers (P30 Clinical Trial Not Allowed),1/11/2023,9/26/2025,P30,NIA,NIH,None,RFA-AG-24-001,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-24-001.html
Accelerating Data and Metadata Standards in the Environmental Health Sciences (R24 Clinical Trial Not Allowed),1/11/2023,5/10/2023,R24,NIEHS,NIH,None,RFA-ES-23-002,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-ES-23-002.html
"Notice of Special Interest (NOSI):  Administrative Supplement to Support Global Cancer Stigma Research 
",1/11/2023,,Admin Supp,NCI,NIH,None,NOT-CA-23-036,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-23-036.html
Limited Competition: Pediatric Heart Network for the Data Coordinating Center (U24 Clinical Trial Not Allowed),1/10/2023,5/12/2023,U24,NHLBI,NIH,None,RFA-HL-24-002,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-24-002.html
Pediatric Heart Network Clinical Research Centers (UM1 Clinical Trial Optional),1/10/2023,5/12/2023,UM1,NHLBI,NIH,None,RFA-HL-24-001,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-24-001.html
Planning for the TMD Collaborative for IMproving PAtient-Centered Translational Research (TMD IMPACT) (R34 Clinical Trial Not Allowed) ,1/10/2023,4/14/2023,R34,NIDCR,NIH,"FDA, NCCIH, NIAMS, NIBIB, NINDS, OBSSR, ORWH",RFA-DE-23-014,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DE-23-014.html
Interventions Testing Program (ITP) Data Coordinating Center (U24 Clinical Trial Not Allowed),1/10/2023,6/19/2023,U24,NIA,NIH,None,RFA-AG-24-003,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-24-003.html
Renewal of the Interventions Testing Program (U01 Clinical Trial Not Allowed),1/10/2023,6/19/2023,U01,NIA,NIH,None,RFA-AG-24-002,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-24-002.html
Notice of Special Interest (NOSI): Administrative Supplements to Support Programs for Inclusion and Diversity Among Individuals Engaged in Health-Related Research (PRIDE) Small Research Projects (SRPs),1/10/2023,,Admin Supp,NHLBI,NIH,None,NOT-HL-22-039,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-22-039.html
Programs for Inclusion and Diversity Among Individuals Engaged in Health-Related Research (PRIDE) (R25 Clinical Trial Not Allowed),1/10/2023,3/10/2023,R25,NHLBI,NIH,None,RFA-HL-24-004,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-24-004.html
Programs for Inclusion and Diversity Among Individuals Engaged in Health-Related Research (PRIDE) Coordination Center (U24 Clinical Trial Not Allowed),1/10/2023,3/10/2023,U24,NHLBI,NIH,None,RFA-HL-24-003,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-24-003.html
Mentored Career Development Program for Early Stage Investigators Using Nonhuman Primate Research Models (K01 Independent Clinical Trial Not Allowed),1/10/2023,1/7/2026,K01,NIAID,NIH,"NIA, ORIP",PAR-23-073,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-073.html
Notice of Special Interest (NOSI): Adaptive Biomaterials for Cancer Biology,1/10/2023,,"R01,K22,K99/R00",NCI,NIH,None,NOT-CA-23-030,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-23-030.html
Integrative Research to Understand the Impact of Sex Differences on the Molecular Determinants of AD Risk and Responsiveness to Treatment (U01 Clinical Trial Optional),1/10/2023,2/21/2025,U01,NIA,NIH,None,PAR-23-082,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-082.html
NIDA Program Project Grant Applications (P01 Clinical Trial Optional),1/10/2023,1/7/2026,P01,NIDA,NIH,None,PAR-23-064,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-064.html
Innovations to Optimize HIV Prevention and Care Continuum Outcomes (R01 Clinical Trial Optional),1/10/2023,1/9/2026,R01,NIMH,NIH,None,PAR-23-062,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-062.html
Innovations to Optimize HIV Prevention and Care Continuum Outcomes (R21 Clinical Trial Optional),1/10/2023,1/9/2026,R21,NIMH,NIH,None,PAR-23-061,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-061.html
Formative and Pilot Intervention Research to Optimize HIV Prevention and Care Continuum Outcomes (R34 Clinical Trial Optional),1/10/2023,1/9/2026,R34,NIMH,NIH,None,PAR-23-060,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-060.html
Archiving and Documenting Child Health and Human Development Data Sets (R03 Clinical Trial Not Allowed),1/9/2023,11/16/2025,R03,NICHD,NIH,None,PAR-22-261,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-261.html
Amyotrophic Lateral Sclerosis (ALS) Intermediate Patient Population Expanded Access (U01 Clinical Trial Required),1/9/2023,3/23/2023,U01,NINDS,NIH,OD,RFA-NS-23-012,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-23-012.html
Notice of Special Interest (NOSI): Targeting the Endocannabinoid System for Brain Health and Acute and Chronic Diseases,1/9/2023,,"R01,R21,DP2,DP1,K99/R00,K01,R36,K08,R15,K24",NIDA,NIH,"NCI, NIDCR",NOT-DA-22-048,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-22-048.html
NIAID Physician-Scientist Pathway to Independence Award (K99/R00 Clinical Trial Required),1/9/2023,1/7/2026,K99/R00,NIAID,NIH,None,PAR-23-070,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-23-070.html
NIAID Physician-Scientist Pathway to Independence Award (K99/R00 Independent Clinical Trial Not Allowed),1/9/2023,1/7/2026,K99/R00,NIAID,NIH,None,PAR-23-071,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-071.html
Animal and Biological Material Resource Centers (P40) (Clinical Trials Not-Allowed),1/9/2023,1/7/2026,P40,ORIP,NIH,None,RFA-OD-23-001,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-23-001.html
Innovative Mental Health Services Research Not Involving Clinical Trials (R01 Clinical Trials Not Allowed),1/6/2023,7/5/2024,R01,NIMH,NIH,None,PAR-23-095,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-095.html
"Initiation of a Mental Health Family Navigator Model to Promote Early Access, Engagement and Coordination of Needed Mental Health Services for Children and Adolescents (R01 Clinical Trial Required)",1/6/2023,7/5/2024,R01,NIMH,NIH,None,PAR-23-094,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-23-094.html
Mood and Psychosis Symptoms during the Menopause Transition (R01 Clinical Trial Optional),1/6/2023,11/5/2024,R01,NIMH,NIH,None,PAR-23-097,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-097.html
Effectiveness of Implementing Sustainable Evidence-Based Mental Health Practices in Low-Resource Settings to Achieve Mental Health Equity for Traditionally Underserved Populations (R01 Clinical Trial Optional),1/6/2023,7/5/2024,R01,NIMH,NIH,None,PAR-23-092,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-092.html
Utilizing Invasive Recording and Stimulating Opportunities in Humans to Advance Neural Circuitry Understanding of Mental Health Disorders (R01 Clinical Trial Optional),1/6/2023,7/5/2024,R01,NIMH,NIH,None,PAR-23-093,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-093.html
Building in vivo Preclinical Assays of Circuit Engagement for Application in Therapeutic Development (R01 Clinical Trial Not Allowed),1/6/2023,9/7/2025,R01,NIMH,NIH,None,PAR-23-091,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-091.html
Laboratories to Optimize Digital Health (R01 Clinical Trial Required),1/6/2023,3/5/2025,R01,NIMH,NIH,None,PAR-23-096,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-23-096.html
Revision Applications for Validation of Biomarker Assays Developed Through NIH-Supported Research Grants (R01 Clinical Trial Not Allowed),1/6/2023,10/27/2023,R01,NCI,NIH,None,PAR-23-088,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-088.html
Tools and resources to understand the vascular pathophysiology of in vivo neuroimaging findings in TBI-related dementia and/or VCID (U24 - Clinical Trials Not Allowed),1/6/2023,3/17/2023,U24,NINDS,NIH,NIA,RFA-NS-23-002,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-23-002.html
Pilot and Feasibility Trials on the Integration of Social and Medical Care for Type 1 Diabetes Mellitus (R01 Clinical Trial Required),1/5/2023,2/29/2024,R01,NIDDK,NIH,None,RFA-DK-22-028,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-22-028.html
BRAIN Initiative: Transformative Brain Non-invasive Imaging Technology Development (UG3/UH3 Clinical Trial Not Allowed),1/5/2023,10/13/2023,UG3/UH3,NIBIB,NIH,"NCCIH, NEI, NIA, NIAAA, NICHD, NIDA, NIDCD, NIMH, NINDS",RFA-EB-22-003,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-EB-22-003.html
Cooperative Agreement to Support  the Food and Agriculture Organization (FAO)  (U01) Clinical Trials Not Allowed,1/5/2023,3/7/2023,U01,FDA,FDA,None,RFA-FD-23-020,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-23-020.html
"Development and Validation of a Multi-functional, Multi-purpose Quantitative Tool for Dermal Physiologically-Based Pharmacokinetic (PBPK) Modeling (U01) Clinical Trial Optional",1/5/2023,3/20/2023,U01,FDA,FDA,None,RFA-FD-23-015,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-23-015.html
Notice of Special Interest (NOSI): Fundamental Science Research on the Neural Circuits Underlying Sensory Processing,1/5/2023,,"R21,R01,R15",NIDCD,NIH,None,NOT-DC-23-001,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DC-23-001.html
HEAL Commercialization Readiness Pilot (CRP) Program: Embedded Entrepreneurs for Small Businesses in Pain Management (SB1 Clinical Trial Not Allowed),1/3/2023,9/5/2025,SB1,NINDS,NIH,"NCATS, NCCIH, NEI, NIAMS",PAR-23-069,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-069.html
"Notice of Special Interest (NOSI): Promoting Research on COVID-19 and Rheumatic, Musculoskeletal and Skin Diseases
",12/29/2022,,"R01,R21",NIAMS,NIH,None,NOT-AR-23-008,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-AR-23-008.html
"Notice of Special Interest (NOSI):  Administrative Supplement to Support Global Cancer Stigma Research 
",12/29/2022,,Admin Supp,NCI,NIH,None,NOT-CA-23-025,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-23-025.html
Bidirectional Influences Between Adolescent Social Media Use and Mental Health (R21 Clinical Trial Optional),12/29/2022,3/24/2023,R21,NIMH,NIH,None,RFA-MH-23-116,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-23-116.html
Bidirectional Influences Between Adolescent Social Media Use and Mental Health (R01 Clinical Trial Optional),12/29/2022,3/24/2023,R01,NIMH,NIH,None,RFA-MH-23-115,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-23-115.html
"NIDA Core ""Center of Excellence"" Grant Program (P30 Clinical Trial Optional)",12/28/2022,11/17/2025,P30,NIDA,NIH,None,PAR-23-049,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-049.html
Notice of Special Interest (NOSI): Administrative Supplements to NIH Centers for AIDS Research (CFAR) and NIMH AIDS Research Centers (ARC) for Ending the HIV Epidemic (EHE) ,12/27/2022,,Admin Supp,NIAID,NIH,NIMH,NOT-AI-23-016,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-23-016.html
Limited Competition: Brain Tissue Resource Center for Alcohol Research (R28 Clinical Trial Not Allowed),12/27/2022,3/14/2023,R28,NIAAA,NIH,None,PAR-23-068,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-068.html
